id,nombre,precio,stock,bodega,vendidos
295,Dream Alone,,,,
296,DreamWorks Dragons Dawn of New Riders,,,,
297,Duck Game,,,,
298,Dungeon Rushers,,,,
299,Dungeons & Aliens,,,,
300,Dust: An Elysian Tail,,,,
301,Dustoff Heli Rescue 2,,,,
302,Dusty Raging Fist,,,,
303,Dying: Reborn,,,,
304,Dynamite Fishing: World Games,,,,
305,Dynasty Warriors 8: Xtreme Legends,,,,
306,Earth Atlantis,,,,
307,Earth Wars,,,,
308,Earthlock: Festival of Magic,,,,
309,Eat Beat Deadspike-san,,,,
310,The Elder Scrolls V: Skyrim,,,,
311,Elevator...to the Moon! Turbo Champion's Edition,,,,
312,Elli,,,,
313,Elliot Quest,,,,
314,Embers of Mirrim,,,,
315,Enchanting Mahjong Match,,,,
316,The End Is Nigh,,,,
317,Energy Balance,,,,
318,Energy Cycle,,,,
319,Energy Invasion,,,,
320,Enter the Gungeon,,,,
321,Epic Loon,,,,
322,Escape Trick: 35 Fateful Enigmas,,,,
323,The Escapists 2,,,,
324,Estiman,,,,
325,Everspace,,,,
326,Evoland: Legendary Edition,,,,
327,Exorder,,,,
328,Fairune Collection,,,,
329,Fairy Fencer F: Advent Dark Force,,,,
330,The Fall,,,,
331,The Fall Part 2: Unbound,,,,
332,Fall of Light: Darkest Edition,,,,
333,Fallen Legion: Rise to Glory,,,,
334,Fallout Shelter,,,,
335,Fantasy Hero: Unsigned Legacy,,,,
336,Farm Expert 2018,,,,
337,Farming Simulator,,,,
338,Fast RMX,,,,
339,Fate/Extella Link,,,,
340,Fate/Extella: The Umbral Star,,,,
341,Fe,,,,
342,Fear Effect Sedna,,,,
343,Feudal Alloy,,,,
344,FIFA 18,,,,
345,FIFA 19,,,,
346,Figment,,,,
347,Final Fantasy IX,,,,
348,Final Fantasy VII,,,,
349,Final Fantasy XII: The Zodiac Age,,,,
350,Final Fantasy X/X-2 HD Remaster,,,,
351,Final Fantasy XV: Pocket Edition,,,,
352,The Final Station,,,,
353,Fire Emblem: Three Houses,,,,
354,Fire Emblem Warriors,,,,
355,Firewatch,,,,
356,The First Tree,,,,
357,Fishing Star World Tour,,,,
358,Fishing Universe Simulator,,,,
359,Fitness Boxing,,,,
360,The Flame in the Flood,,,,
361,Flashback,,,,
362,Flat Heroes,,,,
363,Flinthook,,,,
364,Flip Wars,,,,
365,Flipping Death,,,,
366,Floor Kids,,,,
367,Fly O'Clock,,,,
368,Food Truck Tycoon,,,,
369,Football Manager Touch 2018,,,,
370,Football Manager Touch 2019,,,,
371,Forager,,,,
372,Forgotton Anne,,,,
373,Forma.8,,,,
374,Fortnite Battle Royale,,,,
375,Fossil Hunters,,,,
376,Fox N Forests,,,,
377,Framed Collection,,,,
378,Frederic: Resurrection of Music,,,,
379,Frederic 2: Evil Strikes Back,,,,
380,Freecell Battle King,,,,
381,Freedom Planet,,,,
382,The Friends of Ringo Ishikawa,,,,
383,Fromto,,,,
384,FruitFall Crush,,,,
385,Frutakia 2,,,,
